item_id,item_geohash,item_category
100337865,mtobc7a,9757
100340824,9427pwg,3487
100340824,947ue61,3487
100340824,94b639q,3487
100340824,94bjter,3487
100340824,94dekgj,3487
100340824,94egird,3487
100340824,94h6bn7,3487
100340824,94hr635,3487
100340824,94j1uuh,3487
100340824,94l1qt5,3487
100340824,94ne3pw,3487
100340824,94nn37h,3487
100340824,94qcfeo,3487
100340824,95302g6,3487
100340824,9531qi3,3487
100340824,953p73p,3487
100340824,953s5mw,3487
100340824,953sqsk,3487
100340824,953v7mc,3487
100340824,954k15i,3487
100340824,955fcbk,3487
100340824,955g9kg,3487
100340824,955gc2g,3487
100340824,955m309,3487
100340824,95c4u53,3487
100340824,95c4up1,3487
100340824,95cpilh,3487
100340824,95cs9iq,3487
100340824,95hw3oe,3487
100340824,95na5ao,3487
100340824,95ncqr2,3487
100340824,95ni4gt,3487
100340824,95nm36o,3487
100340824,95nm9pq,3487
100340824,95w9j57,3487
100340824,9623rdt,3487
100340824,962a6ti,3487
100340824,9673op0,3487
100340824,967f0gr,3487
100340824,967hn3r,3487
100340824,96a3wnl,3487
100340824,96ac40f,3487
100340824,96er5fj,3487
100340824,96gcg3l,3487
100340824,96gvilr,3487
100340824,96k9dvm,3487
100340824,96k9l7k,3487
100340824,96kf4ei,3487
100340824,97lawef,3487
100340824,97m5v7f,3487
100340824,99aifvs,3487
100340824,99aj037,3487
100340824,99amtd1,3487
100340824,99b90fs,3487
100340824,99b9sjt,3487
100340824,99csagu,3487
100340824,99ct12p,3487
100340824,99ct17e,3487
100340824,99ct2oe,3487
100340824,99ct3rm,3487
100340824,99ct5a1,3487
100340824,99ct5aa,3487
100340824,99ctbss,3487
100340824,99ctbuw,3487
100340824,99ctdah,3487
100340824,99ctdtd,3487
100340824,99ctikb,3487
100340824,99ctio1,3487
100340824,99ctk1j,3487
100340824,99ctkin,3487
100340824,99ctn95,3487
100340824,99ctpe4,3487
100340824,99ctq2c,3487
100340824,99ctrtw,3487
100340824,99ctwki,3487
100340824,99cueww,3487
100340824,99cuj5f,3487
100340824,99cuk9v,3487
100340824,99cureg,3487
100340824,99cuww2,3487
100340824,99naeis,3487
100340824,99necto,3487
100340824,99nejcg,3487
100340824,99nfbd4,3487
100340824,99nfmep,3487
100340824,99noi76,3487
100340824,9qo7i0u,3487
100340824,9qss1pl,3487
100340824,9r5gdao,3487
100340824,9r6uv0v,3487
100340824,9r6vo6a,3487
100340824,9r7176k,3487
100340824,9r7ul4i,3487
100340824,9r7v5om,3487
100340824,9rb9dn1,3487
100340824,9rdmte3,3487
100340824,9rn9pri,3487
100340824,9t405cg,3487
100340824,9t6kbej,3487
